c.name,Corrupt/non-corrupt,c.betweenness,c.approxBetweenness,c.closeness,c.pagerank,c.clusteringCoefficient,c.harmonic,c.degree,c.trianglesCount
"""A.B.J.Z DRIVER HIRE "" LTD",0,15,63.55723098,1,3.175309637,0,0.001941748,6,0
1221 LTD,0,15,63.55723098,1,3.175309637,0,0.001941748,6,0
AARTOFT LIMITED,0,21,127.114462,1,3.616960675,0,0.002265372,7,0
ABBERTON CONSULTANTS LIMITED,1,7194.382362,33761.35887,0.157606998,3.289190947,0.227272727,0.056654163,12,15
ADAM MOORE LIMITED,0,6,50.84578478,1,2.292007493,0,0.001294498,4,0
ADTONES LTD,0,55,169.4859493,1,5.383562947,0,0.003559871,11,0
AFRICAN PLATINUM LIMITED,1,1197,6012.514051,0.464968153,8.279669592,0,0.013403452,20,0
ALENTER TRADING LIMITED,1,23567.38454,99097.2583,0.282633053,3.620707432,0.457894737,0.101128448,20,87
ALGERNA INVESTMENT LIMITED,1,3021,19003.61206,0.249443758,1.483634793,0,0.085810217,4,0
ALI HUSSAIN LTD,0,3,8.474297464,1,1.850356449,0,0.000970874,3,0
ALPS VENTURES LIMITED,1,6033,25194.08636,0.191570154,3.022674623,0,0.068899933,7,0
ALTERFOX LIMITED,1,4284.006081,13772.80964,0.2854314,2.852078423,0.393939394,0.104730698,12,26
AMETHYST BES LIMITED,0,3,8.474297464,1,1.850356449,0,0.000970874,3,0
AMOUAGE EUROPE LIMITED,1,8321.504545,35384.85278,0.282553906,3.996293973,0.075757576,0.1030047,12,5
ANCUS INVESTMENT CO. LTD,0,15,63.55723098,1,3.175309637,0,0.001941748,6,0
ANGRYESPRESSO LTD,0,6,12.7114462,1,2.292007493,0,0.001294498,4,0
ANNA SHUMILOVA LIMITED,0,42.08452381,153.2536343,0.65625,2.153037374,0.511111111,0.005016181,10,23
ANS CLIENT SOLUTIONS LIMITED,0,10,33.89718986,1,2.733658578,0,0.001618123,5,0
ANZEN LIMITED,0,45,190.6716929,1,4.941912148,0,0.003236246,10,0
APOLLO CAPITAL INVEST LTD,1,5030,23151.78067,0.204499392,2.493594564,0,0.070782863,6,0
AQVENOR LTD.,1,129.1783094,487.9816745,0.4,2.037259471,0.266666667,0.007659115,6,4
ARCADE MANAGEMENT LIMITED,1,7035,27257.57779,0.282001118,3.378962591,0,0.102195639,8,0
ARCON CONSULTING LTD,1,4026,21067.1035,0.281529018,2.067964313,0,0.10154839,5,0
ARDON LIMITED,1,7035,14563.08019,0.282001118,3.378962591,0,0.102195639,8,0
ARMITAGE - WINTER LIMITED,0,36,67.79437971,1,4.500262794,0,0.002912621,9,0
ARNEL ESTIBAL LIMITED,0,6,25.42289239,1,2.292007493,0,0.001294498,4,0
ARRELL TRADING LIMITED,1,4026,21084.05209,0.191424777,2.143000967,0,0.068468434,5,0
ARTEGA TRADE LIMITED,1,4026,12575.85744,0.281529018,2.067964313,0,0.10154839,5,0
ASGARD LIMITED,0,21,76.26867718,1,3.616960675,0,0.002265372,7,0
ASHLAND SPECIALTIES UK LIMITED,1,11027,43968.89239,0.282633053,3.706183494,0.054545455,0.102923794,11,3
ASTUTE PARTNERS LTD,1,114.5059524,365.0000979,0.564102564,3.666896798,0.145454545,0.005016181,11,8
AURI MONTES LTD.,1,10284.73529,51952.53852,0.253645048,5.026415507,0.076190476,0.089731469,15,8
AVERDO PROPERTY MANAGEMENT LIMITED,1,45,76.26867718,1,4.941912148,0,0.003236246,10,0
AVONTON LIMITED,1,4026,12575.85744,0.281529018,2.067964313,0,0.10154839,5,0
B2B COMPANY SECRETARY LIMITED,1,7035,27257.57779,0.220401922,3.256603551,0,0.077943828,8,0
BAE SYSTEMS (FARNBOROUGH 7) LIMITED,1,51,93.2172721,0.923076923,3.018346034,0.181818182,0.003721683,11,10
BALMORE INVEST LIMITED,1,5485.611823,19178.63959,0.324541653,4.380221954,0.498461538,0.116185082,26,162
BENDALL METALS LTD,0,15,63.55723098,1,3.175309637,0,0.001941748,6,0
BERGHER LIMITED,1,17727.80352,71341.88904,0.323708694,3.297575761,0.596491228,0.114286485,19,102
BIZZBOT LTD,0,6,25.42289239,1,2.292007493,0,0.001294498,4,0
BLACK AND WATSON LTD,0,6,12.7114462,1,2.292007493,0,0.001294498,4,0
BLACKHALL TRADING LIMITED,1,4026,12575.85744,0.281529018,2.067964313,0,0.10154839,5,0
BLANCA FLOR UK LTD.,1,6,12.7114462,1,2.292007493,0,0.001294498,4,0
BLU3 (HOLDINGS) LIMITED,0,134,398.2919808,0.894736842,7.018429637,0,0.005177994,15,0
BLYTHE (EUROPE) LIMITED,1,43.99702381,82.32174679,0.511627907,2.195495907,0.380952381,0.004368932,7,8
BONARDA INVESTMENTS LIMITED,1,66,326.2604524,1,5.825213754,0,0.003883495,12,0
BRIDESTONES ASSOCIATES LIMITED,0,36,169.4859493,1,4.500262794,0,0.002912621,9,0
BSB EQUIPMENT LTD,0,3,16.94859493,1,1.850356449,0,0.000970874,3,0
BUSINESS BANK ITALY LTD,1,897,3313.450308,0.539325843,12.23264389,0,0.011057174,27,0
BUZZDRIVE LTD,1,6033,33685.33242,0.20458232,2.93050654,0,0.070998613,7,0
CAFE EQUATOR LIMITED,0,6,25.42289239,1,2.292007493,0,0.001294498,4,0
CALDON HOLDINGS LIMITED,1,11022.5,43947.70665,0.283586284,5.40593185,0.032967033,0.103921637,14,3
CALMVIEW SERVICES LIMITED,1,4785.7,21890.24026,0.157557776,2.851434781,0.222222222,0.056330538,10,10
CARGO VENTURES LIMITED,1,12146.67968,58781.24208,0.300745156,3.038476774,0.035714286,0.105769764,8,1
CARMONDEAN DEVELOPMENT LTD,1,5030,23130.59493,0.220209515,2.389208329,0,0.077512329,6,0
CARTRIDGE XL LTD,0,6,50.84578478,1,2.292007493,0,0.001294498,4,0
CASINO CONCEPTS LIMITED,1,6,38.13433859,1,2.292007493,0,0.001294498,4,0
CCMA SERVICES LIMITED,0,45,152.5373544,1,4.941912148,0,0.003236246,10,0
CELCORP LIMITED,0,152,644.0466073,1,8.068528484,0.006535948,0.005825243,18,1
CENTRAL AFRICAN GOLD LIMITED,1,1032,5355.755997,0.467948718,6.165628134,0.083003953,0.013781014,23,21
CENTUNA LIMITED,0,10,50.84578478,1,2.733658578,0,0.001618123,5,0
CHASE JOINERY SOLUTIONS LTD,0,10,33.89718986,1,2.733658578,0,0.001618123,5,0
CIBYN JOINERY LIMITED,0,6,12.7114462,1,2.292007493,0,0.001294498,4,0
CLAIMS 24/7 LTD,0,6,25.42289239,1,2.292007493,0,0.001294498,4,0
CLAIRE HARRISON LIMITED,0,6,50.84578478,1,2.292007493,0,0.001294498,4,0
CLAMOSA LIMITED,1,6033,25219.50925,0.191570154,3.022674623,0,0.068899933,7,0
CLASSIC SECURITY SERVICES LTD,0,10,50.84578478,1,2.733658578,0,0.001618123,5,0
CLIFF PROJECT SOLUTIONS LTD,0,6,38.13433859,1,2.292007493,0,0.001294498,4,0
CLIMBFREE SOLUTIONS LIMITED,1,8362.333333,35608.99794,0.192557252,4.327246723,0.075757576,0.070577387,12,5
CLS 2018 LIMITED,0,36,135.5887594,1,4.500262794,0,0.002912621,9,0
CNC CONSULTING LIMITED,0,3021.416667,10486.94311,0.161079183,2.22005792,0.133333333,0.056792813,6,2
COFA LTD.,0,10,33.89718986,1,2.733658578,0,0.001618123,5,0
COFLUX SERVICES LIMITED,0,80,266.9403701,0.72,4.057481118,0.090909091,0.004692557,11,5
COMPARE ANY CAR LTD,0,6,0,1,2.292007493,0,0.001294498,4,0
CONQUEST PRECISION LIMITED,0,45.5,203.3831391,0.75,3.367589605,0.071428571,0.003236246,8,2
COOL WATER ENTERPRISES LIMITED,0,36,135.5887594,1,4.500262794,0,0.002912621,9,0
CORP DIRECTORS LIMITED,1,200.25,747.8567512,0.36,1.960968782,0.2,0.010248112,5,2
CORP SECRETARIES LIMITED,1,192.75,739.3824537,0.36,1.960968782,0.2,0.010248112,5,2
CORPTECH TRADING LTD,1,7035,35770.0096,0.282001118,3.378962591,0,0.102195639,8,0
CRAFTED & DISTILLED LIMITED,0,10,16.94859493,1,2.733658578,0,0.001618123,5,0
CREDOTRANSIT LIMITED,1,9045.905873,42805.87562,0.309699202,5.309851754,0.394179894,0.11379026,28,149
CS GLOBAL (EUROPE) LTD,1,111,419.4777245,0.458333333,3.045991596,0,0.004099245,7,0
CULLINANE CONSTRUCTION LIMITED,0,5,42.37148732,1,1.864756895,0.166666667,0.001294498,4,1
CYBER INTELLIGENCE AND AVIATION SERVICES LTD,0,6,25.42289239,1,2.292007493,0,0.001294498,4,0
D. TOPPING FABS LIMITED,0,3,8.474297464,1,1.850356449,0,0.000970874,3,0
DANIELL INVEST LTD,1,3688.333333,16130.82522,0.220305677,2.023571107,0.133333333,0.077620203,6,2
DANTECH FASTENERS LIMITED,0,45,228.8060315,1,4.941912148,0,0.003236246,10,0
DARREL TRADE LTD,1,2142.200762,4947.259162,0.282633053,1.972064672,0.5,0.102627138,8,14
DB LEISURE LIMITED,0,21,152.5373544,1,3.616960675,0,0.002265372,7,0
DELANCO CORPORATION LIMITED,1,291,1423.681974,0.393939394,3.100204301,0,0.007659115,7,0
DEMETRA CONSULTING LTD,1,198,440.6634681,0.382352941,2.213927337,0,0.007227616,5,0
DENIX ALLIANCE LTD.,1,6133.055143,34041.35324,0.306593741,4.400893988,0.463203463,0.111363076,22,107
DENTON ENTERPRISE LTD,1,7713.053541,26865.79002,0.255184623,4.048476603,0.115384615,0.090233087,13,9
DERITEC ALLIANCE LIMITED,1,6033,25194.08636,0.281843575,2.940767951,0,0.101979889,7,0
DESIGN RATIONALE LIMITED,0,99,343.2090473,0.941176471,4.01354855,0.142857143,0.005016181,15,15
DEVORA LIMITED,1,6033,25219.50925,0.24981431,2.76278039,0,0.086457466,7,0
DI PIAZZA IMPORT EXPORT LIMITED,0,3,8.474297464,1,1.850356449,0,0.000970874,3,0
DIAMOND HANGAR LIMITED,1,1103.684211,4361.810108,0.418478261,6.656904222,0.066666667,0.013160734,21,14
DIXON CORPORATION LTD,1,26195.35367,114718.3243,0.333113239,4.804748091,0.435897436,0.118736323,27,153
DMC TECHNOLOGY LIMITED,0,3,16.94859493,1,1.850356449,0,0.000970874,3,0
DOCOBO LTD,0,200,983.0185058,0.954545455,7.403405464,0.031578947,0.006634304,20,6
DOLORES TRADE & INVEST LTD,1,370,1449.104866,0.361502347,2.508841683,0,0.010005394,6,0
DRESFOND INVEST LIMITED,1,5030,23151.78067,0.2291099,2.604685527,0,0.079795808,6,0
DUNCAN GIBBINS SOLICITORS LIMITED,0,3,8.474297464,1,1.850356449,0,0.000970874,3,0
DUNLIN INVEST LTD,1,78,364.394791,0.41509434,2.397417078,0,0.003613808,5,0
DWYER TRANSPORT LIMITED,0,6,25.42289239,1,2.292007493,0,0.001294498,4,0
DWYLOS LTD,0,36,135.5887594,1,4.500262794,0,0.002912621,9,0
DYNAMIC ESTATES LIMITED,1,728.4166667,3436.327622,0.398963731,4.889076764,0.025641026,0.011812298,13,2
EASTBRIDGE CAPITAL LIMITED,1,120,317.7861549,1,7.591819557,0,0.005177994,16,0
EASTSUCCESS INTERNATIONAL INVESTMENT COMPANY LIMITED,0,6,12.7114462,1,2.292007493,0,0.001294498,4,0
ECO KARS LTD,0,6,25.42289239,1,2.292007493,0,0.001294498,4,0
EDEN CONSULTANCY SOLUTIONS LTD,0,3,8.474297464,1,1.850356449,0,0.000970874,3,0
EFRAIMIZA LIMITED,0,3,8.474297464,1,1.850356449,0,0.000970874,3,0
EIG DEVELOPMENT LTD.,1,2097.001654,8614.88601,0.272555375,3.110236994,0.65497076,0.097401372,19,112
ELMINGTON LIMITED,1,1283.685147,6955.774294,0.281529018,1.083939272,0.333333333,0.101440515,4,2
ENGDAL HOLDINGS LIMITED,0,21,25.42289239,1,3.616960675,0,0.002265372,7,0
ENRC AFRICA HOLDINGS LIMITED,1,676.2703505,3451.403153,0.467948718,3.278749134,0.415384615,0.01407767,26,135
ENTLEY VENTURES LTD.,1,1089.568881,2266.654761,0.272481772,2.867677814,0.732026144,0.097239559,18,112
EPSILON COMMERCIAL LTD.,1,5018.583333,18868.0233,0.191679331,2.073626635,0.2,0.068872965,6,3
ERWA LIMITED,1,5029,23126.35778,0.204499392,2.036459434,0,0.07064802,5,0
EURO TELECOM LTD,1,7035,31528.62371,0.191642925,3.46324121,0,0.069115683,8,0
EUROPACK DISTRIBUTION LIMITED,1,4047.705759,20857.24353,0.306221548,3.813610969,0.563157895,0.110931577,20,107
EUROSTATE CORPORATION LIMITED,1,8036.554545,33561.76175,0.239156198,4.068727477,0.216666667,0.086443212,16,26
EXECUTIVE HIRE SOLUTIONS LTD,0,6,38.13433859,1,2.292007493,0,0.001294498,4,0
EXIM MANAGEMENT LTD,1,1509,3112.185744,0.281607591,1.36390434,0.333333333,0.101494452,4,2
FAIRLESS AUTOMATION LTD,0,3,16.94859493,1,1.850356449,0,0.000970874,3,0
FAMILY TIES LTD,0,3,8.474297464,1,1.850356449,0,0.000970874,3,0
FARMONT BAKER STREET LIMITED,1,773.4166667,4258.334476,0.403141361,2.980266803,0.217948718,0.011893204,13,17
FCG DEVELOPMENT LTD.,1,15,63.55723098,1,3.175309637,0,0.001941748,6,0
FINANCIAL INVESTMENTS CORPORATION LIMITED,1,94,538.117889,0.4,2.38940662,0,0.004045307,5,0
FINANCIAL QUALITY SOLUTIONS LIMITED,0,55,127.114462,1,5.383562947,0,0.003559871,11,0
FINEBERG LIMITED,1,15,63.55723098,1,3.175309637,0,0.001941748,6,0
FINESSE EXECUTIVE LIMITED,1,1035,3898.176833,0.398963731,6.906049804,0,0.012162891,16,0
FINPRO SYSTEMS LIMITED,1,84,245.7546265,0.516129032,3.837785417,0,0.003505933,8,0
FIRST LEADER TRADING LIMITED,1,3021,14745.27759,0.139770051,1.777972939,0,0.049090325,4,0
FITZGERALD CONSULTING LIMITED,0,190,724.5524332,1,9.358426556,0,0.006472492,20,0
FLANAGAN FLANAGAN & ASSOCIATES LTD,0,3,8.474297464,1,1.850356449,0,0.000970874,3,0
FORDEX LIMITED,1,3911.799837,21159.83831,0.306128641,3.792557499,0.563157895,0.110877639,20,107
FORTRESS ALLIANCE LIMITED,1,6033,25194.08636,0.281843575,2.940767951,0,0.101979889,7,0
FORTSON CONSTRUCTION LTD.,1,1352.736636,8176.247276,0.300208271,1.785975611,0.642857143,0.106470951,8,18
FRANK ROBERT THORBJOERNSEN LIMITED,0,63.1916847,185.1825065,0.7,2.641737761,0.378787879,0.005339806,12,25
FRUZEX LTD,1,4176.475387,22021.07607,0.281922325,2.171064591,0.095238095,0.102033826,7,2
FULL SPECTRUM INNOVATION LTD,0,15,42.37148732,1,3.175309637,0,0.001941748,6,0
G FORD CONSTRUCTION MANAGEMENT LIMITED,0,3,8.474297464,1,1.850356449,0,0.000970874,3,0
GABRIEL CONSULTING LTD,0,6,12.7114462,1,2.292007493,0,0.001294498,4,0
GALLAPLAST UK LTD,1,8035,37795.36669,0.282158837,3.348652865,0,0.102276545,8,0
GEBA INDUSTRIES LTD,1,8346.387839,44297.44947,0.221223416,3.9895123,0.072727273,0.078847665,11,4
GEM ACTUARIAL SERVICES LIMITED,0,3,8.474297464,1,1.850356449,0,0.000970874,3,0
GERCO HOLDINGS LTD,0,21,127.114462,1,3.616960675,0,0.002265372,7,0
GLOBAL TOUCH LTD,0,6,25.42289239,1,2.292007493,0,0.001294498,4,0
GLOBAL WORLD TRADE LTD,1,3023.414918,14754.27412,0.136461996,2.51070393,0.305555556,0.048818957,9,11
GLOBAL YIELD FINTECH LIMITED,0,20,72.03152844,0.875,3.083897995,0,0.00210356,6,0
GOLDMILE CONTRACTS LIMITED,1,9780.023286,43934.49228,0.309794289,5.579320836,0.366995074,0.113952073,29,149
GPP HOLDINGS LTD,0,15,42.37148732,1,3.175309637,0,0.001941748,6,0
GRAYS (UK) LIMITED,0,21,152.5373544,1,3.616960675,0,0.002265372,7,0
GREAT EXTENIONS LTD,0,15,63.55723098,1,3.175309637,0,0.001941748,6,0
GREENFIELD INDUSTRIES LIMITED,1,5030,23130.59493,0.281686209,2.503598688,0,0.101764139,6,0
GRIDEN DEVELOPMENTS LIMITED,1,4026,16829.95476,0.281529018,2.067964313,0,0.10154839,5,0
GTL TERMINALS LIMITED,0,258,1207.587389,0.903225806,4.177809712,0.26,0.008576052,25,78
GUSTO MDA LIMITED,0,10,50.84578478,1,2.733658578,0,0.001618123,5,0
HANDECO LIMITED,1,11033,44007.02673,0.282633053,5.137215229,0,0.103058638,12,0
HARJIT SINGH LTD,0,10,16.94859493,1,2.733658578,0,0.001618123,5,0
HARKNESS SCREENS (UK) LIMITED,1,27655,103361.0062,0.285350679,2.830830705,0.470769231,0.106321852,26,153
HATTONBROWN LIMITED,0,10,33.89718986,1,2.733658578,0,0.001618123,5,0
HAYKAT LIMITED,0,6,12.7114462,1,2.292007493,0,0.001294498,4,0
HEMPSTED MOTOR CENTRE LIMITED,0,45,152.5373544,1,4.941912148,0,0.003236246,10,0
HENRY DYSON FINE ART LIMITED,0,28,118.6401645,1,4.058611758,0,0.002588997,8,0
HERMIVEROUS LIMITED,0,6,25.42289239,1,2.292007493,0,0.001294498,4,0
HESSOND SOLUTION LIMITED,1,2015,4160.880055,0.228798186,1.284637114,0,0.079148559,3,0
HGCAPITAL 8 NOMINEES LIMITED,0,36,203.3831391,1,4.500262794,0,0.002912621,9,0
HIGAN LIMITED,1,6,12.7114462,1,2.292007493,0,0.001294498,4,0
HIGHROCK OIL LIMITED,1,135.5,637.6908842,0.714285714,5.144775429,0.03030303,0.005177994,12,2
HIGHROCK TEXTILES LIMITED,1,124.5,480.9163811,0.689655172,4.708937346,0.036363636,0.005016181,11,2
HIPPYCHICK LIMITED,1,11033,48231.46402,0.282633053,5.137215229,0,0.103058638,12,0
HOFFNAR LIMITED,0,6,12.7114462,1,2.292007493,0,0.001294498,4,0
HOPEWELL INVESTMENTS LIMITED,1,258,1029.627142,0.49122807,6.042842691,0,0.00587918,13,0
HURWITZ EXPORTS LIMITED,1,17970,75124.64702,0.283745782,4.89023688,0.098039216,0.104434042,18,15
HYROCK IMPEX LIMITED,1,5980.863329,27448.1773,0.286078821,3.669071715,0.375,0.105593697,16,45
INATOS LIMITED,1,84,309.3118574,0.516129032,3.837785417,0,0.003505933,8,0
INFOBANK24 LTD,0,26,29.66004112,0.8,3.006579574,0,0.002265372,6,0
INFOCETA LIMITED,0,10,50.84578478,1,2.733658578,0,0.001618123,5,0
INFO-MEDICAL LTD.,1,5276.957001,24512.45702,0.300565982,3.005382985,0.272727273,0.1071182,12,18
INTER SERVICE ALLIANCE LTD,1,8565.616615,39269.99611,0.250870214,3.917651767,0.022222222,0.087539297,10,1
INVEST ACTIVE FIVE LTD.,1,3021,14745.27759,0.2458577,1.466033575,0,0.084378564,4,0
INVEST CONSULTING CENTER LTD,1,1160,4881.195339,0.400990099,7.614774849,0,0.012783172,17,0
INVEST CONSULTING COMPANY LTD,1,465,2245.688828,0.364864865,3.179795397,0,0.010625674,7,0
INVEST CREATIVE FOUR LTD.,1,4026,21067.1035,0.245977572,1.886311668,0,0.084594313,5,0
INVEST INFO ONE LTD.,1,2039.346469,4216.039778,0.272040981,2.816378661,0.713235294,0.09680806,17,97
INVEST MEDIA THREE LTD.,1,16082.56083,62856.83033,0.33410596,5.207283534,0.455645161,0.12001464,32,226
INVEST RATING TWO LTD.,1,39416.3202,166647.4132,0.283825598,3.765322615,0.545454545,0.102261134,23,138
IRIS ASSETS LIMITED,1,6,25.42289239,1,2.292007493,0,0.001294498,4,0
ITEC (LONDON) LIMITED,0,3,16.94859493,1,1.850356449,0,0.000970874,3,0
JARANI LIMITED,0,43.49702381,171.3018702,0.511627907,2.195495907,0.380952381,0.004368932,7,8
JC PAINTING LIMITED,0,3,8.474297464,1,1.850356449,0,0.000970874,3,0
JENGATE LIMITED,1,16008,75251.76148,0.192300362,7.434565909,0,0.071057431,17,0
JETFOLD MANAGEMENT LIMITED,1,5685.478807,22655.31958,0.286078821,3.595280875,0.383333333,0.105593697,16,46
JET-TECH INDUSTRIES LTD.,1,4049.237087,12627.60976,0.272187753,3.324462646,0.567251462,0.097131684,19,97
JOHN COLLINS CONSULTANCY LIMITED,0,6,12.7114462,1,2.292007493,0,0.001294498,4,0
JOHN SHACKMAN LTD.,1,12028,46006.96093,0.28279148,4.630089528,0,0.1030047,11,0
JOHN T BONNER LIMITED,0,6,38.13433859,1,2.292007493,0,0.001294498,4,0
JONNY METROPOLIS T.C. LTD.,0,21,76.26867718,1,3.616960675,0,0.002265372,7,0
JUBIII LTD,0,36,135.5887594,1,4.500262794,0,0.002912621,9,0
